Default Dataset,
X,Y
4.440892098500626e-16,399.6865434145984
0.020000000000000462,399.6865434145966
0.04000000000000048,409.7265876108813
0.0600000000000005,429.8066760034453
0.08000000000000052,429.8066760034453
0.10000000000000098,439.8467201997264
0.12000000000000055,429.8066760034453
0.14000000000000057,429.8066760034453
0.16000000000000103,409.7265876108795
0.1800000000000006,389.64649921831733
0.20000000000000062,389.64649921831733
0.22000000000000064,389.64649921831915
0.24000000000000066,389.64649921831733
0.26000000000000023,389.64649921831733
0.28000000000000025,389.64649921831733
0.3000000000000007,389.64649921831915
0.3200000000000003,379.60645502203624
0.3400000000000003,379.60645502203624
0.3600000000000003,379.6064550220344
0.38000000000000034,379.6064550220344
0.40000000000000036,379.60645502203624
0.4200000000000004,379.60645502203624
0.4400000000000004,389.64649921831733
0.4600000000000004,399.6865434145966
0.48,399.6865434145984
0.5,399.6865434145984
0.5200000000000005,399.6865434145984
0.5400000000000005,419.76663180716423
0.5600000000000005,419.76663180716423
0.5800000000000001,429.8066760034453
0.600000000000001,429.8066760034453
0.6200000000000001,409.7265876108813
0.6400000000000001,409.7265876108813
0.6600000000000006,399.6865434145984
0.680000000000001,379.60645502203624
0.7000000000000002,379.60645502203624
0.7200000000000006,359.52636662947043
0.7400000000000002,359.52636662947225
0.7600000000000002,359.52636662947407
0.7800000000000007,359.52636662947225
0.8000000000000007,379.6064550220344
0.8200000000000012,379.6064550220344
0.8400000000000012,399.6865434145984
0.8600000000000012,399.6865434145984
0.8800000000000012,399.6865434145984
0.9000000000000017,399.6865434145966
0.9200000000000013,399.6865434145984
0.9400000000000008,409.7265876108813
0.9600000000000009,419.7666318071624
0.9800000000000013,439.8467201997264
1.0000000000000009,439.8467201997264
1.0200000000000014,439.8467201997264
1.0400000000000018,439.8467201997264
1.0600000000000014,439.8467201997264
1.08,419.76663180716423
1.1000000000000014,409.7265876108813
1.1200000000000019,379.60645502203624
1.1400000000000015,379.60645502203624
1.160000000000002,349.48632243319116
1.1800000000000015,339.44627823690826
1.200000000000002,339.44627823690826
1.2200000000000015,319.36618984434244
1.240000000000001,319.36618984434426
1.2600000000000007,319.36618984434426
1.280000000000002,319.36618984434426
1.3000000000000007,319.36618984434244
1.3200000000000003,329.406234040629
1.3400000000000016,329.40623404062717
1.3600000000000012,329.40623404062535
1.3800000000000017,339.44627823690826
1.4000000000000004,359.52636662947225
1.4200000000000008,359.52636662947043
1.4400000000000022,369.56641082575516
1.4600000000000009,359.52636662947225
1.4800000000000004,339.44627823690826
1.5000000000000018,339.44627823690826
1.5200000000000014,319.36618984434426
1.540000000000001,319.36618984434244
1.5600000000000005,319.36618984434426
1.5800000000000018,299.28610145178027
1.6000000000000023,299.2861014517821
1.620000000000001,319.36618984434426
1.6400000000000006,319.36618984434426
1.660000000000002,319.36618984434244
1.6800000000000024,339.44627823690826
1.700000000000002,339.44627823690826
1.7200000000000024,339.44627823690644
1.740000000000002,339.44627823690826
1.7600000000000025,339.44627823690826
1.780000000000002,339.44627823690826
1.8000000000000016,349.48632243318934
1.820000000000002,359.52636662947407
1.8400000000000025,359.52636662947225
1.8600000000000012,359.52636662947043
1.8800000000000017,359.52636662947225
1.9000000000000021,369.56641082575516
1.9200000000000017,369.56641082575334
1.9400000000000022,379.60645502203624
1.9600000000000017,379.6064550220344
1.9800000000000022,379.60645502203624
2.0000000000000027,379.60645502203624
2.0200000000000022,379.60645502203624
2.040000000000002,379.6064550220344
2.0600000000000023,379.60645502203624
2.080000000000002,379.60645502203624
2.1000000000000023,389.64649921831915
2.120000000000002,389.64649921831733
2.1400000000000023,409.7265876108813
2.160000000000003,419.76663180716423
2.1800000000000024,439.8467201997264
2.200000000000002,439.8467201997264
2.2200000000000015,419.76663180716423
2.240000000000003,399.6865434145984
2.2600000000000025,379.60645502203624
2.280000000000002,379.60645502203624
2.3000000000000016,359.52636662947043
2.320000000000003,339.44627823690826
2.3400000000000025,339.44627823690644
2.360000000000002,299.28610145178027
2.3800000000000026,329.406234040629
2.3800000000000017,188.8456152926792
2.400000000000002,269.16596886293337
2.400000000000003,138.64539431126832
2.4200000000000017,269.16596886293337
2.4200000000000026,138.64539431126832
2.4400000000000013,158.72548270383413
2.4600000000000026,138.64539431127014
2.480000000000002,138.64539431126832
2.5000000000000018,128.60535011498723
2.5200000000000022,138.64539431127014
2.540000000000002,138.64539431127014
2.560000000000004,138.64539431126832
2.5800000000000027,158.72548270383413
2.6000000000000023,178.80557109639813
2.6200000000000028,178.8055710963963
2.6400000000000032,198.88565948896394
2.6600000000000037,198.88565948896212
2.6800000000000024,218.9657478815243
2.700000000000003,218.9657478815243
2.7200000000000033,229.0057920778072
2.740000000000003,229.00579207780538
2.7600000000000025,229.0057920778072
2.780000000000003,218.9657478815243
2.8000000000000025,208.9257036852432
2.820000000000003,188.8456152926792
2.8400000000000025,188.84561529268103
2.860000000000003,178.80557109639813
2.8800000000000026,158.72548270383413
2.900000000000003,158.72548270383413
2.9200000000000026,158.7254827038323
2.940000000000003,168.76552690011522
2.9600000000000035,158.72548270383413
2.980000000000003,158.7254827038323
3.0000000000000036,158.7254827038323
3.020000000000003,178.80557109639813
3.0400000000000027,188.8456152926792
3.060000000000003,188.8456152926774
3.080000000000002,208.9257036852432
3.100000000000003,218.9657478815243
3.1200000000000037,218.9657478815243
3.1400000000000032,198.88565948896212
3.160000000000003,188.8456152926792
3.1800000000000033,178.8055710963963
3.200000000000003,178.80557109639813
3.2200000000000033,168.76552690011522
3.240000000000002,168.76552690011522
3.2600000000000025,168.76552690011522
3.280000000000003,158.72548270383413
3.3000000000000034,158.7254827038323
3.320000000000003,158.72548270383413
3.3400000000000025,158.72548270383413
3.360000000000003,138.64539431126832
3.3800000000000034,138.64539431126832
3.400000000000003,138.64539431127014
3.4200000000000026,118.56530591870614
3.440000000000005,118.56530591870614
3.4600000000000035,138.64539431126832
3.480000000000002,138.64539431127014
3.5000000000000044,138.64539431127014
3.520000000000004,138.64539431127014
3.5400000000000045,148.68543850755123
3.560000000000004,148.68543850755123
3.5800000000000036,148.68543850755304
3.600000000000005,148.68543850755304
3.6200000000000045,148.6854385075494
3.6400000000000032,148.68543850755123
3.6600000000000046,148.68543850755304
3.680000000000005,158.7254827038323
3.700000000000003,158.72548270383413
3.7200000000000033,178.80557109639813
3.7400000000000038,198.8856594889603
3.760000000000005,198.88565948896212
3.780000000000004,198.88565948896212
3.8000000000000034,188.8456152926792
3.820000000000004,168.76552690011522
3.8400000000000043,168.76552690011522
3.860000000000003,158.72548270383413
3.8800000000000043,148.6854385075494
3.900000000000004,148.68543850755123
3.9200000000000044,138.64539431127014
3.940000000000004,138.64539431127014
3.9600000000000026,158.72548270383413
3.980000000000004,158.7254827038323
4.000000000000004,158.7254827038323
4.020000000000002,158.72548270383413
4.040000000000003,158.72548270383413
4.060000000000003,158.7254827038323
4.080000000000001,158.72548270383595
4.100000000000001,138.64539431127014
4.12,138.64539431127014
4.14,138.64539431127014
4.160000000000001,128.60535011498723
